SourceId,SourceFilename,SourceStartLine,SourceEndLine,Pass00ItemId,RequirementId,Pass15RecoveredId,ShortMeaning,SourceType,AuthorityLevel,Chronology,FinalStatus,FinalDisposition,CanonicalMaster,CanonicalDeepSpec,CanonicalSection,FormulaIds,Units,Preconditions,CrossDomainOwners,OpenItemId,ExternalRevalidationId,ConflictId,PresentInV2,CoverageQuality,Pass15Action,Notes
SRC-001,23. Lock-free  ring buffers  zero-copy.md,1,19,SRC-001-ITEM-0001,REQ-BENCH-0001,"","23. Lock-free / ring buffers / zero-copy: Ces idées avaient déjà été évoquées pour diminuer la latence. Elles restent intéressantes, mais je ne les imposerais pas partout dès la première ligne de code.",RESEARCH_FUTURE,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,RESEARCH,PRESERVED_RESEARCH,docs_v2/13_INFRASTRUCTURE.md,docs_v2/deep-specs/infrastructure/README.md,"infrastructure baseline, measurement and ROI gates","","","","BENCHMARK; MICROSTRUCTURE, ARCH","","","",YES,FULL,VERIFIED,PASS00 target: Benchmark Protocol; stable join SRC-001-ITEM-0001 -> REQ-BENCH-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,20,50,SRC-001-ITEM-0002,REQ-QUANT-0001,"",24. Aucun appel bloquant pendant une opportunité: C'était déjà une règle ancienne essentielle. le bot ne doit pas devoir demander :,SUBSTANTIVE_REQUIREMENT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/04_FORMULA_BOOK.md,docs_v2/deep-specs/formulas/README.md,QF contract or formula governance,"","","","QUANT; RISK, ACCOUNTING, INVENTORY","","","",YES,FULL,VERIFIED,PASS00 target: Quant models; stable join SRC-001-ITEM-0002 -> REQ-QUANT-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,51,67,SRC-001-ITEM-0003,REQ-SEC-0001,"",25. Vérifier le solde AVANT l'ordre: On a eu des problèmes historiques de : Donc chaque ExecutionPlan doit savoir :,SUBSTANTIVE_REQUIREMENT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/14_DEPLOYMENT_AND_DOCKER.md,docs_v2/deep-specs/deployment-security/README.md,deployment and security contracts,"","","","SECURITY; INVENTORY, ARCH","","","",YES,FULL,VERIFIED,PASS00 target: Security baseline; stable join SRC-001-ITEM-0003 -> REQ-SEC-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,68,87,SRC-001-ITEM-0004,REQ-QUANT-0002,"","26. Tick size / lot size / min notional: On avait explicitement prévu : Sur Hyperliquid, les règles ne sont pas identiques, mais le problème général reste exactement le même.",SUBSTANTIVE_REQUIREMENT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/04_FORMULA_BOOK.md,docs_v2/deep-specs/formulas/README.md,QF contract or formula governance,"","","",QUANT; none,"","","",YES,FULL,VERIFIED,PASS00 target: Quant models; stable join SRC-001-ITEM-0004 -> REQ-QUANT-0002
SRC-001,23. Lock-free  ring buffers  zero-copy.md,88,104,SRC-001-ITEM-0005,REQ-CLOCK-0001,"",27. Clock sync / timestamps: On avait eu notamment le fameux problème Binance : * horloge correctement synchronisée ;,SUBSTANTIVE_REQUIREMENT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/11_DATA_CONTRACTS.md,docs_v2/deep-specs/data/README.md,"schema, time, ordering and determinism contracts","","","",CLOCK; ARCH,"","","",YES,FULL,VERIFIED,PASS00 target: Clock and RNG contract; stable join SRC-001-ITEM-0005 -> REQ-CLOCK-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,105,126,SRC-001-ITEM-0006,REQ-RISK-0001,"",28. Rate limits / retries: * API qui refuse ; Mais jamais de retry aveugle d'ordre.,FAILURE_MODE,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/09_RISK_CONSTITUTION.md,docs_v2/deep-specs/risk/README.md,"risk invariants, gates, budgets and action permissions","","","",RISK; none,"","","",YES,FULL,VERIFIED,PASS00 target: Risk gates and budgets; stable join SRC-001-ITEM-0006 -> REQ-RISK-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,127,143,SRC-001-ITEM-0007,REQ-EXEC-0001,"",29. IOC/FOK plutôt que market aveugle: On avait initialement voulu beaucoup utiliser : pour éviter les partial fills.,EXTERNAL_SNAPSHOT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,EXTERNAL_REVALIDATION,EXTERNAL_REVALIDATION_REGISTER,docs_v2/10_EXECUTION_STATE_MACHINE.md,docs_v2/deep-specs/execution/README.md,"execution, partial, Recovery and Reconciliation contracts","","","",EXECUTION; RISK,"",EXT-001..016 (fact-family join),"",YES,TRACE_ONLY,VERIFIED,PASS00 target: Order/Fill/Cancel contracts; stable join SRC-001-ITEM-0007 -> REQ-EXEC-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,144,179,SRC-001-ITEM-0008,REQ-EXEC-0002,"","30. Partial fills = scénario normal, pas exception: si les trois jambes ne remplissent pas complètement, catastrophe. On avait déjà prévu :",FAILURE_MODE,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/10_EXECUTION_STATE_MACHINE.md,docs_v2/deep-specs/execution/README.md,"execution, partial, Recovery and Reconciliation contracts","","","","EXECUTION; RECOVERY, RISK, DEPLOYMENT","","","",YES,FULL,VERIFIED,PASS00 target: Order/Fill/Cancel contracts; stable join SRC-001-ITEM-0008 -> REQ-EXEC-0002
SRC-001,23. Lock-free  ring buffers  zero-copy.md,180,195,SRC-001-ITEM-0009,REQ-RECOV-0001,"",31. Ne jamais dépendre d'une exécution atomique des 3 jambes: Même si on envoie un batch : on doit toujours concevoir le système comme si :,SUBSTANTIVE_REQUIREMENT,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,LOCKED,CURRENT_CANONICAL,docs_v2/10_EXECUTION_STATE_MACHINE.md,docs_v2/deep-specs/execution/README.md,"execution, partial, Recovery and Reconciliation contracts","","","",RECOVERY; none,"","","",YES,FULL,VERIFIED,PASS00 target: Recovery and Unknown State; stable join SRC-001-ITEM-0009 -> REQ-RECOV-0001
SRC-001,23. Lock-free  ring buffers  zero-copy.md,196,217,SRC-001-ITEM-0010,REQ-RISK-0002,"",32. Kill switch de latence: On avait anciennement parlé de quelque chose autour de : Je ne conserverais absolument pas ce chiffre.,SUPERSEDED,REFINEMENT_SUBJECT_TO_CLOSURE,refinement,SUPERSEDED,TRACE_TO_REPLACEMENT,docs_v2/09_RISK_CONSTITUTION.md,docs_v2/deep-specs/risk/README.md,"risk invariants, gates, budgets and action permissions","","","",RISK; INFRA,"","","",YES,TRACE_ONLY,VERIFIED,PASS00 target: Risk gates and budgets; stable join SRC-001-ITEM-0010 -> REQ-RISK-0002
